Date,Open,High,Low,Close,Adj Close,Volume
2023-07-10,3963.33,3967.78,3921.83,3962.42,3962.42,211430000
2023-07-06,3924.41,3967.78,3921.83,3962.42,3962.42,211430000
2023-07-05,3932.76,3950.97,3910.15,3924.41,3924.41,370740000
2023-07-04,3880.35,3960.95,3879.96,3930.93,3930.93,664810000
2023-07-03,3794.73,3878.96,3794.73,3878.52,3878.52,667140000
2023-06-26,3793.43,3805.51,3786.95,3791.99,3791.99,424840000
2023-06-22,3778.57,3783.82,3767.72,3776.39,3776.39,226880000
2023-06-21,3776.07,3782.41,3757.12,3782.23,3782.23,164910000
2023-06-20,3787.05,3791.03,3767.99,3774.24,3774.24,129890000
2023-06-19,3790.05,3795.68,3752.70,3787.07,3787.07,214260000
2023-06-15,3718.92,3734.67,3714.39,3734.26,3734.26,229100000
2023-06-14,3715.44,3722.59,3703.25,3717.07,3717.07,230390000
2023-06-13,3700.99,3725.60,3691.49,3712.68,3712.68,321320000
2023-06-12,3698.69,3712.07,3689.89,3701.91,3701.91,548720000
2023-06-08,3686.71,3692.34,3668.82,3687.63,3687.63,250670000
2023-06-07,3678.90,3687.75,3669.09,3687.63,3687.63,212170000
2023-06-06,3652.64,3687.63,3652.64,3677.98,3677.98,332460000
2023-06-05,3606.02,3654.93,3597.88,3652.64,3652.64,294830000
2023-06-01,3577.88,3589.15,3572.86,3582.12,3582.12,137280000
2023-05-31,3568.22,3586.22,3568.22,3576.63,3576.63,255860000
2023-05-30,3545.46,3575.05,3542.69,3567.30,3567.30,144990000
2023-05-29,3544.18,3562.06,3533.60,3543.62,3543.62,159870000
2023-05-25,3530.15,3545.50,3524.53,3525.81,3525.81,194290000
2023-05-24,3534.15,3541.83,3515.83,3530.15,3530.15,230100000
2023-05-23,3549.72,3559.35,3526.35,3533.23,3533.23,138780000
2023-05-22,3544.53,3558.42,3540.99,3549.30,3549.30,187660000
2023-05-18,3563.98,3565.91,3546.23,3555.50,3555.50,217460000
2023-05-17,3511.87,3565.82,3503.57,3565.82,3565.82,394730000
2023-05-16,3525.43,3538.42,3501.89,3509.10,3509.10,228800000
2023-05-15,3559.09,3567.62,3518.92,3525.43,3525.43,164800000
2023-05-11,3574.83,3581.02,3544.88,3568.83,3568.83,270060000
2023-05-10,3572.01,3583.32,3552.76,3572.99,3572.99,212380000
2023-05-09,3586.53,3597.86,3568.23,3571.09,3571.09,255480000
2023-05-08,3584.01,3598.23,3572.64,3582.84,3582.84,398670000
2023-05-04,3581.54,3606.56,3565.38,3590.62,3590.62,371270000
